timestamp,user_id,group,payment_tag,price
1116816775,274878089794,1,Common,4.99
1116974784,274878091726,1,Common,4.99
1117145970,274878096796,1,Common,4.99
1117196276,274878092771,2,Common,4.99
1117273438,274878091098,2,Common,4.99
1117279891,274878096564,2,Common,4.99
1117308508,274878091240,1,Common,4.99
1117365535,274878100023,1,Common,4.99
1117477006,274878103403,2,Common,4.99
1117489270,274878098647,3,Common,4.99
1117489517,274878098647,3,Common,4.99
1117531339,274878097268,3,Common,4.99
1117563064,274878091240,1,Common,4.99
1117637498,274878093303,1,Common,4.99
1117640603,274878093303,1,Common,4.99
1117642161,274878105130,1,Common,4.99
1117729465,274878087937,3,Common,4.99
1117805219,274878109609,3,Common,4.99
1117821482,274878091098,2,Common,4.99
1117881212,274878098216,3,Common,4.99
1117892348,274878110489,2,Common,4.99
1117992922,274878110098,1,Common,4.99
1118023707,274878113131,3,Common,4.99
1118073227,274878089794,1,Common,4.99
1118073962,274878089794,1,Common,4.99
1118171149,274878091098,2,Common,4.99
1118430555,274878119578,1,Common,4.99
1118464333,274878088613,2,Common,4.99
1118519307,274878115113,1,Common,4.99
1118597455,274878120966,2,Common,4.99
1118678270,274878091098,2,Common,4.99
1118694862,274878115113,1,Common,4.99
1118713896,274878121522,1,Common,4.99
1118723287,274878088613,2,Common,4.99
1118820455,274878100023,1,Common,4.99
1118856847,274878119729,2,Common,4.99
1118925630,274878127373,2,Common,4.99
1119162338,274878129874,1,Common,4.99
1119369712,274878126371,2,Common,4.99
1119436716,274878134521,3,Common,4.99
1119461861,274878100509,1,Common,4.99
1119708242,274878109769,2,Common,4.99
1119733108,274878119729,2,Common,4.99
1119809837,274878123939,1,Common,4.99
1119875416,274878142199,2,Common,4.99
1119948934,274878113857,3,Common,4.99
1119949146,274878108613,3,Common,4.99
1119968590,274878139551,1,Common,4.99
1120041968,274878144456,2,Common,4.99
1120048620,274878142339,3,Common,4.99
1120133199,274878118296,2,Common,4.99
1120167237,274878119729,2,Common,4.99
1120230662,274878142807,3,Common,4.99
1120496924,274878140655,1,Common,4.99
1120714389,274878145588,1,Common,4.99
1120727716,274878139776,2,Common,4.99
1120751148,274878147142,1,Common,4.99
1120903489,274878153912,2,Common,4.99
1120912597,279172881254,3,Common,4.99
1120935041,279172877702,3,Common,4.99
1120954232,279172876347,1,Common,4.99
1121037226,279172877712,2,Common,4.99
1121044593,279172877712,2,Common,4.99
1121063073,279172881325,3,Common,4.99
1121103475,279172885049,2,Common,4.99
1121116241,279172885937,2,Common,4.99
1121125570,279172882829,2,Common,4.99
1121151947,279172883973,1,Common,4.99
1121167354,279172885327,3,Common,4.99
1121266608,274878131518,1,Common,4.99
1121277600,279172883367,1,Common,4.99
1121283607,274878144879,1,Common,4.99
1121322559,279172885675,3,Common,4.99
1121354516,279172889101,3,Common,4.99
1121365726,279172889101,3,Common,4.99
1121443838,279172893059,2,Common,4.99
1121497940,279172891926,2,Common,4.99
1121522491,279172895236,1,Common,4.99
1121603285,279172887085,3,Common,4.99
1121615089,279172892201,2,Common,4.99
1121847080,279172893714,2,Common,4.99
1121856671,279172892981,2,Common,4.99
1122031407,279172890352,1,Common,4.99
1122131738,279172890352,1,Common,4.99
1122235691,279172889449,3,Common,4.99
1122239864,279172889449,3,Common,4.99
1122271771,274878147201,1,Common,4.99
1122468831,279172895877,1,Common,4.99
1122560111,279172893843,1,Common,4.99
1122631733,279172888415,2,Common,4.99
1122865519,279172898571,1,Common,4.99
1123010778,274878152459,2,Common,4.99
1123153214,279172892981,2,Common,4.99
1123612366,279172899956,3,Common,4.99
1124045723,279172895877,1,Common,4.99
1117472138,274878087634,1,Common,4.99
1117488110,274878091726,1,Common,4.99
1117644980,274878098647,3,Common,4.99
1117661449,274878105130,1,Common,4.99
1117693037,274878098647,3,Common,4.99
1117708608,274878098647,3,Common,4.99
1117811900,274878092771,2,Common,4.99
1117812119,274878092771,2,Common,4.99
1117824485,274878106590,2,Common,4.99
1117830243,274878098647,3,Common,4.99
1117869348,274878098647,3,Common,4.99
1117892601,274878092771,2,Common,4.99
1117892706,274878092771,2,Common,4.99
1117901895,274878106590,2,Common,4.99
1117965685,274878093303,1,Common,4.99
1118043601,274878092771,2,Common,4.99
1118076220,274878104297,2,Common,4.99
1118315763,274878105130,1,Common,4.99
1118448757,274878106590,2,Common,4.99
1118467815,274878098647,3,Common,4.99
1118683208,274878106590,2,Common,4.99
1118687958,274878106590,2,Common,4.99
1118699768,274878106590,2,Common,4.99
1118863282,274878098175,1,Common,4.99
1118924434,274878123567,1,Common,4.99
1118926479,274878123567,1,Common,4.99
1118940517,274878120008,3,Common,4.99
1118969738,274878088613,2,Common,4.99
1119179036,274878095922,2,Common,4.99
1119278627,274878110816,3,Common,4.99
1119371232,274878103403,2,Common,4.99
1119372660,274878106590,2,Common,4.99
1119372744,274878106590,2,Common,4.99
1119372858,274878106590,2,Common,4.99
1119373026,274878106590,2,Common,4.99
1119425645,274878116257,3,Common,4.99
1119441101,274878096564,2,Common,4.99
1119460796,274878116257,3,Common,4.99
1119557736,274878098647,3,Common,4.99
1119557864,274878098647,3,Common,4.99
1119624845,274878106590,2,Common,4.99
1119625138,274878106590,2,Common,4.99
1119629220,274878106590,2,Common,4.99
1119631316,274878106590,2,Common,4.99
1119848610,274878114057,1,Common,4.99
1119858703,274878119037,1,Common,4.99
1119911654,274878106590,2,Common,4.99
1119943349,274878142668,2,Common,4.99
1119970907,274878106590,2,Common,4.99
1120031577,274878138475,3,Common,4.99
1120224649,274878139009,3,Common,4.99
1120229160,274878121522,1,Common,4.99
1120279032,274878116257,3,Common,4.99
1120290925,274878119037,1,Common,4.99
1120394552,274878139009,3,Common,4.99
1120448455,274878110816,3,Common,4.99
1120451776,274878119000,3,Common,4.99
1120460409,274878114057,1,Common,4.99
1120478375,274878139009,3,Common,4.99
1120542725,274878119037,1,Common,4.99
1120628795,274878116257,3,Common,4.99
1120721836,274878139009,3,Common,4.99
1120744045,274878138475,3,Common,4.99
1120744284,274878138475,3,Common,4.99
1120845126,274878142668,2,Common,4.99
1120899315,274878119037,1,Common,4.99
1120900138,274878119037,1,Common,4.99
1120925847,274878119037,1,Common,4.99
1121020139,279172880381,2,Common,4.99
1121092338,274878138475,3,Common,4.99
1121158097,274878127082,3,Common,4.99
1121198233,279172876284,2,Common,4.99
1121251199,274878139009,3,Common,4.99
1121251266,274878139009,3,Common,4.99
1121268833,279172879102,1,Common,4.99
1121332001,279172886713,3,Common,4.99
1121434122,274878134338,1,Common,4.99
1121450798,274878144879,1,Common,4.99
1121670560,279172893379,3,Common,4.99
1121676171,274878139776,2,Common,4.99
1121680516,279172878291,1,Common,4.99
1121683065,279172881325,3,Common,4.99
1121690280,274878134322,2,Common,4.99
1121716129,279172877103,1,Common,4.99
1121792882,274878138475,3,Common,4.99
1121825511,279172881325,3,Common,4.99
1121834023,279172884583,3,Common,4.99
1121868743,279172885049,2,Common,4.99
1121952561,279172881325,3,Common,4.99
1121967641,274878138475,3,Common,4.99
1122051057,279172889379,1,Common,4.99
1122066750,279172892981,2,Common,4.99
1122068574,279172889101,3,Common,4.99
1122070305,279172890213,1,Common,4.99
1122086419,279172881325,3,Common,4.99
1122121512,279172881325,3,Common,4.99
1122135380,279172889101,3,Common,4.99
1122154880,274878138475,3,Common,4.99
1122155501,274878138475,3,Common,4.99
1122172442,279172881325,3,Common,4.99
1122241513,279172885937,2,Common,4.99
1122274504,279172881325,3,Common,4.99
1122278793,279172881325,3,Common,4.99
1122280410,279172881325,3,Common,4.99
1122285324,279172878356,3,Common,4.99
1122337113,279172881325,3,Common,4.99
1122368284,279172876346,3,Common,4.99
1122379925,279172881325,3,Common,4.99
1122383789,279172881325,3,Common,4.99
1122408630,274878142668,2,Common,4.99
1122410970,274878142668,2,Common,4.99
1122462698,274878149584,1,Common,4.99
1122522089,279172881325,3,Common,4.99
1122651035,279172876346,3,Common,4.99
1122716020,279172890444,2,Common,4.99
1122769653,279172881325,3,Common,4.99
1122792288,279172879807,3,Common,4.99
1122862506,279172881325,3,Common,4.99
1122873834,279172881325,3,Common,4.99
